dt,confirmed,recovered,deceased,active
06-Sep-2020,9319,9575,95,36018
17-Sep-2020,9366,7268,93,38023
27-Sep-2020,9543,6522,79,40965
16-Sep-2020,9725,6580,55,44055
04-Oct-2020,10145,7287,67,46846
17-Jul-2020,3693,1028,115,49396
16-Jul-2020,4169,1263,104,52198
10-Aug-2020,4267,5218,114,51133
25-Oct-2020,4439,10106,32,45434
24-Jul-2020,5007,2037,110,48294
28-Jul-2020,5536,2819,102,50909
05-Aug-2020,5619,5407,100,51021
07-Sep-2020,5773,7897,141,48756
22-Oct-2020,5778,13217,74,41243
24-Aug-2020,5851,8061,127,38906
09-Aug-2020,5985,4670,107,40114
04-Aug-2020,6259,6772,110,39491
17-Aug-2020,6317,7071,115,38622
31-Aug-2020,6495,7238,113,37766
07-Aug-2020,6670,3951,100,40385
13-Aug-2020,6706,8609,103,38379
16-Aug-2020,7040,6680,116,38623
21-Sep-2020,7339,9925,122,35915
20-Aug-2020,7385,6231,102,36967
12-Oct-2020,7606,12030,70,32473
18-Aug-2020,7665,8387,139,31612
08-Sep-2020,7866,7803,146,31529
12-Aug-2020,7883,7034,113,32265
14-Aug-2020,7908,6940,104,33129
25-Aug-2020,8161,6814,148,34328
13-Oct-2020,8191,10421,87,32011
20-Sep-2020,8191,8611,101,31490
14-Sep-2020,8244,8865,119,30750
29-Aug-2020,8324,8110,115,30849
26-Aug-2020,8580,7249,133,32047
19-Aug-2020,8642,7201,126,33362
02-Oct-2020,8793,7094,125,34936
15-Aug-2020,8818,6629,114,37011
30-Aug-2020,8852,7101,106,38656
28-Aug-2020,8960,7464,136,40016
10-Sep-2020,9217,7021,129,42083
27-Aug-2020,9386,7866,141,43462
11-Oct-2020,9523,10107,75,42803
09-Sep-2020,9540,6860,128,45355
03-Oct-2020,9886,8989,100,46152
13-Sep-2020,9894,8402,104,47540
06-Oct-2020,9993,10228,91,47214
01-Oct-2020,10070,7144,130,50010
29-Sep-2020,10453,6628,136,53699
10-Oct-2020,10517,8337,102,55777
08-Oct-2020,10704,9613,101,56767
09-Oct-2020,10913,9091,114,58475
07-Oct-2020,10947,9832,113,59477
19-Sep-2020,8364,10815,114,56912
18-Sep-2020,8626,10949,179,54410
11-Sep-2020,9464,12545,130,51199
