dt,confirmed,recovered,deceased,active
04-Oct-2020,5489,5558,66,23189
12-Sep-2020,5495,6227,76,22381
20-Sep-2020,5516,5206,60,22631
11-Sep-2020,5519,6006,77,22067
10-Sep-2020,5528,6185,64,21346
29-Sep-2020,5546,5501,70,21321
17-Sep-2020,5560,5524,59,21298
19-Sep-2020,5569,5556,66,21245
09-Sep-2020,5584,6516,78,20235
28-Sep-2020,5589,5554,70,20200
02-Oct-2020,5595,5603,67,20125
03-Oct-2020,5622,5596,65,20086
26-Sep-2020,5647,5612,85,20036
16-Sep-2020,5652,5768,57,19863
30-Sep-2020,5659,5610,67,19845
25-Sep-2020,5679,5626,72,19826
08-Sep-2020,5684,6599,87,18824
01-Oct-2020,5688,5516,66,18930
24-Sep-2020,5692,5470,66,19086
13-Sep-2020,5693,5717,74,18988
15-Sep-2020,5697,5735,68,18882
14-Sep-2020,5752,5799,53,18782
07-Sep-2020,5776,5930,89,18539
06-Sep-2020,5783,5820,85,18417
27-Sep-2020,5791,5706,80,18422
05-Sep-2020,5870,5859,64,18369
02-Aug-2020,5875,5517,98,18629
01-Aug-2020,5879,7010,99,17399
31-Jul-2020,5881,5778,94,17408
03-Sep-2020,5892,6110,92,17098
01-Sep-2020,5928,6031,96,16899
31-Aug-2020,5956,6008,91,16756
24-Aug-2020,5967,6129,97,16497
23-Aug-2020,5975,6047,97,16328
04-Sep-2020,5976,6334,79,15891
22-Aug-2020,5980,5603,80,16188
02-Sep-2020,5990,5891,98,16189
29-Aug-2020,6352,6045,87,16409
29-Jul-2020,6426,5927,82,16826
23-Jul-2020,6472,5210,88,18000
30-Aug-2020,6495,6406,94,17995
24-Jul-2020,6785,6504,88,18188
28-Jul-2020,6972,4707,88,20365
26-Jul-2020,6986,5471,85,21795
25-Jul-2020,6988,7758,89,20936
27-Jul-2020,6993,5723,77,22129
04-Aug-2020,5063,6501,108,20583
05-Aug-2020,5175,6031,112,19615
03-Aug-2020,5609,5800,109,19315
06-Aug-2020,5684,6272,110,18617
18-Aug-2020,5709,5850,121,18355
19-Aug-2020,5795,6384,116,17650
11-Aug-2020,5834,6005,118,17361
13-Aug-2020,5835,5146,119,17931
22-Jul-2020,5849,4913,518,18349
15-Aug-2020,5860,5236,127,18846
30-Jul-2020,5864,5295,100,19315
12-Aug-2020,5871,5633,119,19434
07-Aug-2020,5880,6488,119,18707
08-Aug-2020,5883,5043,118,19429
14-Aug-2020,5890,5556,117,19646
17-Aug-2020,5890,5667,120,19749
10-Aug-2020,5914,6037,114,19512
16-Aug-2020,5950,6019,125,19318
25-Aug-2020,5951,6998,107,18164
26-Aug-2020,5958,5606,118,18398
27-Aug-2020,5981,5870,109,18400
20-Aug-2020,5986,5742,116,18528
09-Aug-2020,5994,6020,119,18383
21-Aug-2020,5995,5764,101,18513
28-Aug-2020,5996,5752,102,18655
