dt,confirmed,recovered,deceased,active
11-Sep-2020,2988,1326,14,24116
08-Sep-2020,3026,1862,13,25267
06-Sep-2020,3082,2196,10,26143
13-Sep-2020,3139,1855,14,27413
15-Sep-2020,3216,2532,11,28086
10-Sep-2020,3349,1657,12,29766
09-Sep-2020,3402,2058,12,31098
16-Sep-2020,3830,2263,14,32651
22-Sep-2020,4125,3007,19,33750
18-Sep-2020,4167,2744,12,35161
17-Sep-2020,4351,2737,10,36765
28-Sep-2020,4538,3347,20,37936
19-Sep-2020,4644,2862,18,39700
20-Sep-2020,4696,2751,16,41629
19-Oct-2020,5022,7469,21,39161
05-Oct-2020,5042,4640,23,39540
23-Sep-2020,5376,2951,20,41945
08-Oct-2020,5445,7003,24,40363
12-Oct-2020,5930,7836,22,38435
14-Oct-2020,6244,7792,20,36867
24-Sep-2020,6324,3168,21,40002
25-Sep-2020,6477,3481,22,42976
20-Oct-2020,6591,7375,24,42168
26-Sep-2020,7006,3199,21,45954
16-Oct-2020,7283,6767,24,46446
29-Sep-2020,7354,3420,22,50358
27-Sep-2020,7445,3391,21,54391
22-Oct-2020,7482,7593,23,54257
18-Oct-2020,7631,8410,22,53456
15-Oct-2020,7789,7082,23,54140
03-Oct-2020,7834,4476,22,57476
06-Oct-2020,7871,4981,25,60341
01-Oct-2020,8135,2828,29,65619
21-Oct-2020,8369,6839,26,67123
23-Oct-2020,8511,6118,26,69490
04-Oct-2020,8553,4851,23,73169
13-Oct-2020,8764,7723,21,74189
30-Sep-2020,8830,3536,23,79460
17-Oct-2020,9016,7991,26,80459
09-Oct-2020,9250,8048,25,81636
02-Oct-2020,9258,4092,20,86782
11-Oct-2020,9347,8924,25,87180
07-Oct-2020,10606,6161,22,91603
10-Oct-2020,11755,7570,23,95765
